Position,Artist,Subscribers,Views,Video Count,Category,Release Date
1,T-Series,222000000,19845000000,17317,Music,2006
12,Zee Music Company,86700000,49067711243,6603,Music,2014
19,BANGTANTV,70000000,17471090750,1787,Music,2012
20,Justin Bieber,69700000,28567240999,247,Music,2007
21,HYBE LABELS,67800000,24013849120,971,Music,2008
22,Canal KondZilla,65900000,36576704790,2313,Music,2012
24,Shemaroo Filmi Gaane,61300000,28579945247,7884,Music,2010
31,Wave Music,53400000,37230876862,18622,Music,2014
32,EminemMusic,53000000,23717869724,140,Music,2007
34,Tips Official,52800000,27883080973,3612,Music,2007
35,T-Series Bhakti Sagar,52500000,24278576197,23870,Music,2011
36,Sony Music India,52400000,24856641898,3180,Music,2009
37,Ed Sheeran,52200000,27881781761,253,Music,2006
38,El Reino Infantil,51700000,49895247456,1309,Music,2011
39,Ariana Grande,51600000,22158094076,146,Music,2007
40,LooLoo Kids - Nursery Rhymes and Children's Songs,49800000,29013984394,553,Music,2014
42,Taylor Swift,47100000,25563795998,189,Music,2006
43,Billie Eilish,46200000,11999349578,48,Music,2013
54,Katy Perry,43200000,23966278157,118,Music,2008
55,SonyMusicIndiaVEVO,42700000,23991411417,3309,Music,2009
56,Bad Bunny,42500000,23748805401,123,Music,2014
57,Alan Walker,42200000,11731228995,318,Music,2012
61,Speed Records,40800000,24558172214,10327,Music,2012
73,GR6 EXPLODE,37600000,23912270526,4180,Music,2014
74,XXXTENTACION,37600000,9725253939,126,Music,2015
75,One Direction,37400000,12698961117,157,Music,2010
79,Daddy Yankee,36800000,20479831396,423,Music,2011
83,Maroon 5,36000000,20838666788,163,Music,2006
89,Bruno Mars,35300000,17395825825,97,Music,2006
90,Ozuna,35200000,21048440606,137,Music,2016
93,Goldmines Gaane Sune Ansune,34300000,14212434275,3171,Music,2015
95,J Balvin,33600000,21489532517,134,Music,2011
104,Desi Music Factory,33000000,9481987642,125,Music,2014
106,Geet MP3,32800000,11575367431,563,Music,2016
108,NoCopyrightSounds,32700000,10436881173,1116,Music,2011
110,T-Series Apna Punjab,32300000,18933492606,6524,Music,2011
115,JustinBieberVEVO,31800000,25304909929,205,Music,2009
117,La Granja de Zenón,31500000,22808879757,558,Music,2013
123,SMTOWN,30800000,25203004950,3951,Music,2006
125,Bollywood Classics,30600000,19244430138,2008,Music,2012
128,Trap Nation,30400000,13348694779,2472,Music,2012
129,Rajshri,30300000,13287506122,3739,Music,2006
130,DisneyMusicVEVO,30100000,24693346235,1771,Music,2010
135,Spinnin' Records,29600000,20075386002,10826,Music,2007
137,Shawn Mendes,29500000,11742431673,132,Music,2011
142,The Weeknd,29100000,19280816380,123,Music,2011
143,Maluma,28700000,19638529002,20,Music,2018
144,Adele,28700000,12650300730,14,Music,2008
146,ImagineDragons,28600000,14307239074,67,Music,2009
147,Worldwide Records Bhojpuri,28600000,14501468946,5927,Music,2012
148,Ultra Music,28600000,16201384834,4665,Music,2006
162,KAROL G,27400000,14040459862,121,Music,2013
167,Drake,26800000,12947966180,53,Music,2009
172,Bounce Patrol - Kids Songs,26400000,18891028184,205,Music,2013
173,Wiz Khalifa,26400000,12528940373,598,Music,2008
178,Aditya Music,26100000,22661822099,19992,Music,2008
180,WORLDSTARHIPHOP,25900000,19426357466,6259,Music,2008
182,Michael Jackson,25800000,12588288710,7,Music,2005
183,TaylorSwiftVEVO,25800000,23276597783,239,Music,2009
184,toycantando,25800000,13948216340,496,Music,2009
190,JYP Entertainment,25200000,17152981455,1502,Music,2008
191,RihannaVEVO,25200000,18089677017,106,Music,2009
194,EminemVEVO,24900000,18786748261,98,Music,2009
195,Marília Mendonça,24900000,16477333283,114,Music,2013
196,Beyoncé,24900000,15717379166,234,Music,2005
198,KatyPerryVEVO,24800000,22679485513,171,Music,2009
200,WatchMojo.com,24600000,15650528115,22492,Music,2007
202,Nicki Minaj,24500000,9386490086,31,Music,2013
205,David Guetta,24300000,15959928823,633,Music,2009
210,Post Malone,24200000,12492313399,51,Music,2011
211,1theK (원더케이),24200000,22605283252,16928,Music,2011
221,Coldplay,23500000,15078170011,347,Music,2010
223,DJ Snake,23400000,7645734689,209,Music,2008
224,Chris Brown,23400000,13630944140,21,Music,2006
230,NickyJamTV,23100000,15050718616,328,Music,2012
233,Enrique Iglesias,22900000,16539033540,405,Music,2007
234,netd müzik,22800000,50658927334,20482,Music,2014
238,Anuel AA,22400000,11627613226,92,Music,2016
241,The Chainsmokers,22300000,13337815978,237,Music,2012
247,GMM GRAMMY OFFICIAL,22100000,24128528075,13755,Music,2010
252,OneDirectionVEVO,22000000,11550410746,266,Music,2010
257,Paulo Londra,21700000,7061442001,52,Music,2016
260,Sia,21600000,12150226022,144,Music,2007
262,Wave Music Bhojpuri,21500000,12148385591,21294,Music,2014
273,Dua Lipa,20900000,9928011592,164,Music,2011
276,Indosiar,20800000,10126082404,58623,Music,2013
280,Charlie Puth,20700000,8609202215,132,Music,2009
287,Becky G,20400000,9552800638,73,Music,2011
295,Avicii,20200000,9499913181,149,Music,2009
300,Vevo,20000000,546905035,1519,Music,2006
301,Skrillex,20000000,6307539008,180,Music,2010
302,Rotana,20000000,16480938259,8109,Music,2012
313,Pentatonix,19700000,5694327707,235,Music,2011
316,toyorbabytv,19600000,13978892435,1057,Music,2012
322,Romeo Santos,19400000,14819598563,28,Music,2005
325,Linkin Park,19300000,11783975855,592,Music,2006
328,Gusttavo Lima Oficial,19200000,11815001366,335,Music,2010
350,Lil Nas X,18600000,5659051618,37,Music,2018
351,Calvin Harris,18500000,14886853329,76,Music,2007
356,shakiraVEVO,18400000,22257341033,189,Music,2009
370,Dan-Sa / Daniel Saboya,18100000,6165702828,2062,Music,2007
378,Emiway Bantai,18000000,3038899728,201,Music,2013
380,Farruko,17900000,8480000414,193,Music,2009
382,ArianaGrandeVevo,17800000,19011269725,177,Music,2010
384,Demi Lovato,17800000,6495131112,282,Music,2008
386,Lil Pump,17800000,4091109829,59,Music,2015
394,RsiamMusic : อาร์สยาม,17600000,10952154122,2663,Music,2011
397,JFlaMusic,17600000,3657526529,282,Music,2011
401,officialpsy,17400000,9825292199,119,Music,2010
415,LuisFonsiVEVO,17100000,14008585257,96,Music,2009
416,GRAMMY GOLD OFFICIAL,17100000,17974040182,5334,Music,2014
426,الـريماس - Al-Remas,16900000,10550888024,2047,Music,2013
431,Jason Derulo,16800000,8808599101,451,Music,2008
435,Anitta,16700000,6610175435,99,Music,2011
438,7clouds,16600000,11637964945,1940,Music,2013
444,SonyMusicSouthVEVO,16400000,15090557603,4304,Music,2014
458,Sidhu Moose Wala,16200000,4078330367,111,Music,2017
460,Queen Official,16100000,9723539941,908,Music,2008
461,Travis Scott,16100000,7187033169,13,Music,2013
470,Little Mix,16000000,7047968268,278,Music,2011
474,DopeLyrics,15900000,9803533121,1937,Music,2016
475,Boyce Avenue,15900000,6230190520,438,Music,2007
476,Camila Cabello,15900000,6086165889,61,Music,2015
490,Pitbull,15700000,11458130113,302,Music,2006
492,Jennifer Lopez,15700000,9512025119,224,Music,2005
497,Pop Chartbusters,15600000,7817983360,2154,Music,2011
505,FitDance,15400000,6541827030,3537,Music,2013
512,AdeleVEVO,15200000,11470355227,51,Music,2009
513,Camilo,15200000,6003697328,80,Music,2010
525,POPS Kids,15000000,8678492072,4478,Music,2014
526,SAM SMITH,15000000,8769075543,67,Music,2012
530,zayn,15000000,4559692349,14,Music,2016
536,Henrique e Juliano,14900000,12484253152,285,Music,2009
539,Lahari Music | T-Series,14900000,10469251425,8169,Music,2011
545,BIGBANG,14800000,7353265213,776,Music,2005
556,Zé Neto e Cristiano,14700000,10398104437,212,Music,2012
558,MK MUSIC,14700000,7773089325,4624,Music,2010
565,Maroon5VEVO,14600000,18917303323,143,Music,2009
566,Major Lazer Official,14600000,8886913617,407,Music,2009
567,Jorge & Mateus Oficial,14600000,7981563626,294,Music,2008
571,MattyBRaps,14600000,3226020734,175,Music,2010
573,LEGENDA FUNK,14600000,1310544121,2250,Music,2013
574,SelenaGomezVEVO,14500000,10323589482,183,Music,2009
576,Fueled By Ramen,14500000,12629200270,1190,Music,2006
589,Fifth Harmony,14400000,7526971366,67,Music,2013
590,Team Films Bhojpuri,14400000,6164527861,20085,Music,2014
593,Martin Garrix,14400000,5558117744,305,Music,2011
597,TWICE,14400000,3733683543,852,Music,2016
602,Genierock,14300000,13310308313,1540,Music,2008
608,Hear This Music,14200000,8511385256,38,Music,2016
612,Trap City,14200000,4885163357,2554,Music,2012
614,Camila Loures,14200000,4189052804,3429,Music,2014
616,MalumaVEVO,14100000,17905081262,168,Music,2011
619,Zee Music Classic,14100000,5021164640,964,Music,2014
637,DM - Desi Melodies,13900000,5056080182,45,Music,2017
639,Saad Lamjarred | سعد لمجرد,13900000,3931202248,156,Music,2012
646,melanie martinez,13800000,3835968267,96,Music,2007
660,50 Cent,13600000,8649139354,417,Music,2007
666,Aadishakti Films,13500000,5860777243,4599,Music,2016
670,Neha Kakkar,13500000,1792757553,122,Music,2012
674,Gallina Pintadita,13400000,9054727117,59,Music,2011
676,Wesley Safadão,13400000,7301307830,371,Music,2009
681,Lindsey Stirling,13400000,3533680308,172,Music,2007
684,Kim Loaiza,13400000,1092248349,12,Music,2019
686,jbalvinVEVO,13300000,19691312985,235,Music,2010
687,Atlantic Records,13300000,11695828552,1421,Music,2006
688,Wish 107.5,13300000,5259245361,1552,Music,2014
698,SRK MUSIC,13100000,5680652976,4895,Music,2012
707,EnriqueIglesiasVEVO,13000000,14773705750,137,Music,2009
710,Conor Maynard,13000000,2581452824,282,Music,2006
713,Coke Studio,12900000,3274234309,529,Music,2014
714,BeyoncéVEVO,12900000,13130570880,167,Music,2009
715,O Reino Infantil,12900000,9539435945,1055,Music,2014
716,twenty one pilots,12900000,4621224472,173,Music,2009
729,Crazy Frog,12800000,6887508307,33,Music,2009
734,Katakit Baby TV,12800000,5243185280,169,Music,2010
742,NickiMinajAtVEVO,12700000,8367047990,93,Music,2010
751,Hungria Hip Hop,12600000,3960601978,44,Music,2013
757,7 Minutoz,12600000,3916931694,511,Music,2012
769,Awakening Music,12500000,4944109812,709,Music,2006
770,Lokdhun Punjabi,12500000,4372757487,1399,Music,2010
782,elliegoulding,12400000,6556822629,104,Music,2007
783,Sony Music South,12400000,7036027389,1574,Music,2014
786,DJ Khaled,12400000,6054112231,39,Music,2018
787,Adexe & Nau,12400000,4440271314,529,Music,2013
797,DisneyChannelUK,12300000,11606288094,3238,Music,2007
808,Think Music India,12200000,8959285840,3931,Music,2009
817,Future,12100000,8747974258,48,Music,2011
818,Codiscos,12100000,9823385812,6967,Music,2007
819,Jass Records,12100000,5294095545,4241,Music,2014
825,ChrisBrownVEVO,12000000,12493403632,290,Music,2009
826,Migos ATL,12000000,6370982440,100,Music,2012
827,Lana Del Rey,12000000,5676001571,40,Music,2011
838,Avril Lavigne,11900000,5636275144,140,Music,2005
852,CalvinHarrisVEVO,11800000,13615089843,173,Music,2009
853,Rauw Alejandro,11800000,9232920975,114,Music,2014
856,CNCO,11800000,6881836992,172,Music,2015
863,MORGENSHTERN,11800000,2085751416,131,Music,2013
872,Wave Music Bhakti,11700000,4770280667,19108,Music,2011
874,Natti Natasha,11700000,7264301648,130,Music,2015
877,Mor Haryanvi,11700000,5768686721,402,Music,2015
878,Luan Santana,11700000,4908116204,371,Music,2009
889,Akon,11600000,5289951047,37,Music,2005
890,Halsey,11600000,4412088740,51,Music,2014
896,P!NK,11500000,7211913487,13,Music,2006
900,Luli Pampín,11500000,6102648062,225,Music,2012
901,Duo Tiempo De Sol,11500000,5733616887,278,Music,2013
909,Black Eyed Peas,11400000,9492696997,39,Music,2007
912,Biper y sus Amigos,11400000,4991697738,119,Music,2012
926,Lil Wayne,11300000,5335786775,254,Music,2013
927,elcarteldesantatv,11300000,6261374873,313,Music,2008
928,Star Casablanca | نجوم الدار البيضاء,11300000,5129031730,998,Music,2015
931,Simone e Simaria,11300000,4474548691,224,Music,2012
941,Lofi Girl,11200000,1311726533,328,Music,2015
943,ChainsmokersVEVO,11200000,11415809929,231,Music,2012
946,DemiLovatoVEVO,11200000,5543363992,201,Music,2009
968,Sky Does Everything,11100000,3823868578,2101,Music,2011
970,Genius,11100000,2891052624,2797,Music,2011
983,Doja Cat,11000000,5459891400,25,Music,2018
984,Tyga,11000000,5211071220,160,Music,2009
990,unknown boy varun,11000000,3263285883,193,Music,2016
997,TrapMusicHDTV,10900000,4070521973,690,Music,2013
